"","Latitude","Longitude","Concatenated place name"
"1",60.1711616516113,24.9326496124268,"Helsinki , Uusimaa"
"2",60.2067794799805,24.6557807922363,"Espoo , Uusimaa"
"3",61.4985389709473,23.7717895507812,"Tampere , Pirkanmaa"
"4",60.2893714904785,25.0295600891113,"Vantaa , Uusimaa"
"5",65.0103530883789,25.4735698699951,"Oulu , North Ostrobothnia"
"6",60.4528007507324,22.2515506744385,"Turku , Southwest Finland"
"7",64.519889831543,26.2829971313477,"Jyvaskyla , Central Finland"
"8",60.9825401306152,25.6622295379639,"Lahti , Paijat Hame"
"9",62.893009185791,27.6822109222412,"Kuopio , Northern Savonia"
"10",61.4859580993652,21.7953701019287,"Pori , Satakunta"
"11",60.8713188171387,26.7032299041748,"Kouvola , Kymenlaakso"
"12",62.6048202514648,29.7598705291748,"Joensuu , North Karelia"
"13",61.0553398132324,28.1890602111816,"Lappeenranta , South Karelia"
"14",63.0983581542969,21.6261291503906,"Vaasa , Ostrobothnia"
"15",60.9968910217285,24.4662609100342,"Hameenlinna , Kanta Hame"
"16",62.7906913757324,22.8396091461182,"Seinajoki , South Ostrobothnia"
"17",66.5039367675781,25.7291393280029,"Rovaniemi , Lapland"
"18",61.6868209838867,27.2712898254395,"Mikkeli , Southern Savonia"
"19",60.4663200378418,26.946460723877,"Kotka , Kymenlaakso"
"20",60.3833312988281,21.1666698455811,"Salo , Southwest Finland"
"21",60.3966407775879,25.6715793609619,"Porvoo , Uusimaa"
"22",63.838451385498,23.1300296783447,"Kokkola , Central Ostrobothnia"
"23",60.6296195983887,24.8578796386719,"Hyvinkaa , Uusimaa"
"24",60.251148223877,24.0689506530762,"Lohja , Uusimaa"
"25",60.4716415405273,25.0907497406006,"Jarvenpaa , Uusimaa"
"26",60.4631309509277,24.8060092926025,"Nurmijarvi , Uusimaa"
"27",61.1311492919922,21.5105094909668,"Rauma , Satakunta"
"28",60.1236801147461,24.441520690918,"Kirkkonummi , Uusimaa"
"29",60.4033088684082,25.0261497497559,"Tuusula , Uusimaa"
"30",64.2256469726562,27.7288208007812,"Kajaani , Kainuu"
"31",60.4025382995605,25.1283702850342,"Kerava , Uusimaa"
"32",61.8683815002441,28.8676605224609,"Savonlinna , Southern Savonia"
"33",61.4807891845703,23.5046501159668,"Nokia , Pirkanmaa"
"34",60.4101982116699,22.3842792510986,"Kaarina , Southwest Finland"
"35",61.5548400878906,23.5743598937988,"Ylojarvi , Pirkanmaa"
"36",61.4636993408203,24.0720500946045,"Kangasala , Pirkanmaa"
"37",60.4182205200195,24.340539932251,"Vihti , Uusimaa"
"38",60.7395896911621,24.7743797302246,"Riihimaki , Kanta Hame"
"39",59.9745101928711,23.4358901977539,"Raasepori , Uusimaa"
"40",61.21337890625,28.8255805969238,"Imatra , South Karelia"
"41",64.6884307861328,24.4787902832031,"Raahe , North Ostrobothnia"
"42",61.3369903564453,22.9192600250244,"Sastamala , Pirkanmaa"
"43",60.4869995117188,22.1678695678711,"Raisio , Southwest Finland"
"44",60.9905586242676,25.5160694122314,"Hollola , Paijat Hame"
"45",61.3159217834473,23.7522792816162,"Lempaala , Pirkanmaa"
"46",65.8462600708008,24.1502494812012,"Tornio , Lapland"
"47",63.0856704711914,27.6482200622559,"Siilinjarvi , Northern Savonia"
"48",63.5567207336426,27.1922702789307,"Iisalmi , Northern Savonia"
"49",61.2670288085938,24.0312690734863,"Valkeakoski , Pirkanmaa"
"50",65.7366027832031,24.5670604705811,"Kemi , Lapland"
"51",62.6222305297852,22.3894996643066,"Kurikka , South Ostrobothnia"
"52",62.3137817382812,27.8855495452881,"Varkaus , Northern Savonia"
"53",60.6218109130859,25.3039703369141,"Mantsala , Uusimaa"
"54",60.3768882751465,25.2613105773926,"Sipoo , Uusimaa"
"55",63.67449,22.68205,"Jamsa , Central Finland"
"56",60.5709800720215,27.1894397735596,"Hamina , Kymenlaakso"
"57",61.0741119384766,22.4022808074951,"Lieto , Southwest Finland"
"58",63,22,"Korsholm , Ostrobothnia"
"59",61.4658012390137,23.6445903778076,"Pirkkala , Pirkanmaa"
"60",63.6768493652344,22.7107906341553,"Jakobstad , Ostrobothnia"
"61",60.4650917053223,22.0335292816162,"Naantali , Southwest Finland"
"62",64.519889831543,26.2829971313477,"Laukaa , Central Finland"
"63",61.2033805847168,26.0373592376709,"Heinola , Paijat Hame"
"64",64.519889831543,26.2829971313477,"Aanekoski , Central Finland"
"65",62.3036804199219,27.174259185791,"Pieksamaki , Southern Savonia"
"66",64.9121170043945,25.5067501068115,"Kempele , North Ostrobothnia"
"67",60.8241882324219,23.5871200561523,"Forssa , Kanta Hame"
"68",61.1669998168945,23.867000579834,"Akaa , Pirkanmaa"
"69",60.9207305908203,24.6509094238281,"Janakkala , Kanta Hame"
"70",60.8018989562988,25.7348194122314,"Orimattila , Paijat Hame"
"71",60.8541412353516,23.0390796661377,"Loimaa , Southwest Finland"
"72",63.1060218811035,23.0578193664551,"Kauhava , South Ostrobothnia"
"73",60.805118560791,21.4273700714111,"Uusikaupunki , Southwest Finland"
"74",60.3063087463379,22.3001194000244,"Pargas , Southwest Finland"
"75",64.0743103027344,24.5365505218506,"Ylivieska , North Ostrobothnia"
"76",65.9776611328125,29.1721496582031,"Kuusamo , North Ostrobothnia"
"77",60.4570007324219,26.2243804931641,"Loviisa , Uusimaa"
"78",62.7642784118652,29.8474807739258,"Kontiolahti , North Karelia"
"79",62.75,22.5,"Lapua , South Ostrobothnia"
"80",62.4547996520996,22.2140502929688,"Kauhajoki , South Ostrobothnia"
